training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.42986113,1.0692518,-8.293701,-77.74396,-95.844925,3.647636,-6.9096637,56.683475,-7.53785,-77.55843,-95.79294,0.059509106,0.0017205445289611816,1123.495088815689,485000
0.45093894,0.8326354,-9.110295,-78.80904,-95.770874,17.911222,-11.86072,111.820015,-10.529152,-78.56572,-95.73167,0.064617954,0.0017415799617767334,1132.2029922008514,490000
0.4440172,5.1616716,0.0,-78.83263,-95.899055,99.65802,-308.065,1298.4626,-3.4232206,-78.67473,-95.874,2.5303705,0.001746778631210327,1140.9368886947632,495000
0.46031493,21.460236,0.0,-76.5,-95.69137,409.51306,-684.44855,2453.1353,-1.6422507,-76.19328,-95.69016,0.74317646,0.0017373802661895751,1149.623792886734,500000
0.42214084,1.0267731,-13.521999,-80.48292,-95.86472,9.8460245,-8.896831,83.853165,-14.106144,-80.358574,-95.81494,0.10342025,0.011492271471023559,1207.0851545333862,505000
0.4389333,0.8708824,0.5192162,-78.64383,-95.71182,6.4197474,-7.7748866,70.702194,0.58868873,-78.43088,-95.66824,0.11279009,0.0017221757888793946,1215.6960368156433,510000
0.46396568,0.8863829,-9.056443,-79.9249,-95.6525,8.196159,-5.3320627,67.62043,-6.7398324,-79.66322,-95.606834,0.1987171,0.001706416606903076,1224.2281231880188,515000
0.4385342,1.91339,0.0,-77.71665,-95.792564,14.119568,-11.099248,136.91092,1.8475635,-77.39609,-95.751495,0.26684844,0.001744858932495117,1232.9524216651917,520000
0.40918916,1.8242626,-8.816702,-80.004684,-95.64358,13.070202,-13.50297,123.067696,-9.443618,-79.75773,-95.57576,0.10483325,0.0016940754413604737,1241.4228024482727,525000
0.42683846,0.8682785,-11.097905,-80.21202,-95.67985,4.7188544,-5.9482903,69.88932,-11.395186,-80.09683,-95.6118,0.07233122,0.0016898414134979248,1249.872013092041,530000
0.4228866,1.2507738,-11.924655,-80.10091,-95.70101,32.631313,-25.378685,142.88455,-12.67916,-79.871315,-95.65912,0.10385566,0.001684897804260254,1258.2965059280396,535000
0.4532937,3.7174213,-7.9955873,-80.29577,-95.828575,93.32559,-43.93727,439.59113,-8.439222,-79.985725,-95.7791,0.36107326,0.001666908597946167,1266.6310517787933,540000
0.42192045,0.8085185,-4.3985977,-81.13054,-95.934586,3.9104133,-7.678984,91.53772,-3.4244874,-81.067375,-95.89377,0.09293413,0.0016473017692565917,1274.8675637245178,545000
0.46255112,1.7158532,0.0,-77.31691,-95.68602,6.6041393,-5.968914,114.21457,-1.3250381,-77.17823,-95.67264,0.16728227,0.0016570322513580322,1283.1527287960052,550000
0.3966748,1.4508946,0.0,-78.17827,-95.92006,6.4984016,-6.7577367,85.52031,-1.5521201,-77.99692,-95.815704,0.12627618,0.001709948968887329,1291.7024779319763,555000
0.407684,0.675367,-18.6394,-81.26289,-95.67483,3.3367703,-6.8908377,46.68173,-17.271227,-81.05817,-95.6348,0.084655225,0.0016566969394683838,1299.9859659671783,560000
0.458924,1.1121106,-6.4942565,-77.164314,-95.719345,3.346293,-4.690324,61.23838,-5.3697915,-76.939865,-95.65739,0.1170858,0.0016882637977600097,1308.427288532257,565000
0.423181,1.1138949,-10.621451,-80.82711,-95.63003,5.1892953,-7.7033286,72.39999,-9.515269,-80.59138,-95.58524,0.13827337,0.0016652457237243653,1316.7535207271576,570000
0.45488578,0.98270357,-9.274257,-78.88434,-95.75173,2.4953399,-3.8441367,56.813194,-8.73996,-78.70475,-95.67764,0.07733403,0.0017152891159057618,1325.329969406128,575000
0.3997976,0.78866935,-12.242648,-79.8611,-95.52171,8.385359,-7.5451274,89.99347,-12.127288,-79.70408,-95.46924,0.10984535,0.00173339204788208,1333.9969334602356,580000
0.4914811,3.3598318,-7.0733833,-79.26247,-95.42414,84.80335,-37.919846,322.64154,-7.5400887,-79.0712,-95.41906,0.1561999,0.001712700843811035,1342.5604405403137,585000
0.4354982,1.4143641,-10.11778,-79.90021,-95.80817,9.129196,-8.373533,108.277176,-10.059171,-79.75418,-95.76007,0.1733027,0.001716573143005371,1351.1433095932007,590000
0.4592505,1.1200354,-4.4156923,-78.22145,-95.811035,4.5618587,-6.933086,71.851494,-5.292907,-78.00816,-95.78606,0.1249076,0.0017170143127441407,1359.728384256363,595000
0.41481456,0.8535248,-10.637348,-77.27295,-97.634575,11.624672,-7.8283243,74.05706,-10.631159,-77.05669,-97.609245,0.101312846,0.0017068077564239502,1368.2624261379242,600000
0.4342574,0.77447,-13.497981,-79.31355,-99.692,5.714059,-5.2237315,58.21766,-12.570468,-79.07568,-99.17055,0.08735946,0.010398024940490722,1420.2525551319122,605000
0.40456402,1.3255227,0.0,-78.35188,-95.5829,6.8057466,-9.384416,81.433174,0.6289866,-78.15132,-95.538086,0.07436614,0.0017441195964813232,1428.9731574058533,610000
0.40017605,2.7337084,-12.218219,-78.231995,-95.61732,171.05753,-191.6959,956.9756,-11.38109,-77.968315,-95.56783,0.1766367,0.001710046100616455,1437.5233914852142,615000
